,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
31,000001.XSHE,000001,平安银行,XSHE,2021-02-23,22.38,22.38,22.38,22.68,21.82,21.93,187046013,4160776611.31,160290,0.0096,0.9921976328,425568196185,425571786126,-0.0201,14.7114,14.7114,1.1687,1,22.245
32,000001.XSHE,000001,平安银行,XSHE,2021-02-24,21.93,21.93,22.27,22.28,21.56,22.16,142849985,3144209051.81,119850,0.0074,0.9921976328,430031519720,430035147312,0.0105,14.8657,14.8657,1.181,1,22.011
33,000001.XSHE,000001,平安银行,XSHE,2021-02-25,22.16,22.16,22.4,22.56,21.68,22.09,159340347,3524600794.46,130903,0.0082,0.9921976328,428673116905,428676733038,-0.0032,14.8187,14.8187,1.1773,1,22.12
34,000001.XSHE,000001,平安银行,XSHE,2021-02-26,22.09,22.09,21.6,21.96,21.21,21.38,112497730,2424653753.46,109844,0.0058,0.9921976328,414895031210,414898531116,-0.0321,14.3425,14.3425,1.1394,1,21.553
35,000001.XSHE,000001,平安银行,XSHE,2021-03-01,21.38,21.38,21.54,21.68,21.18,21.45,112538653,2408050906.4,103586,0.0058,0.9921976328,416253434025,416256945390,0.0033,14.3894,14.3894,1.1432,1,21.398
36,000001.XSHE,000001,平安银行,XSHE,2021-03-02,21.45,21.45,21.62,22.15,21.26,21.65,147342505,3196536981.14,118329,0.0076,0.9921976328,420134584925,420138129030,0.0093,14.5236,14.5236,1.1538,1,21.695
37,000001.XSHE,000001,平安银行,XSHE,2021-03-03,21.65,21.65,21.58,23.08,21.46,23.01,191963527,4320024431.32,173273,0.0099,0.9921976328,446526411045,446530177782,0.0628,15.4359,15.4359,1.2263,1,22.504
38,000001.XSHE,000001,平安银行,XSHE,2021-03-04,23.01,23.01,22.77,23.49,22.65,22.92,121357937,2799747146.41,108769,0.0063,0.9921976328,444779893140,444783645144,-0.0039,15.3755,15.3755,1.2215,1,23.07
39,000001.XSHE,000001,平安银行,XSHE,2021-03-05,22.92,22.92,22.7,22.98,21.86,22.34,88017141,1960439115.04,95240,0.0045,0.9921976328,433524555530,433528212588,-0.0253,14.9865,14.9865,1.1906,1,22.273
40,000001.XSHE,000001,平安银行,XSHE,2021-03-08,22.34,22.34,22.44,22.69,21.48,21.6,99377397,2189190957.56,100262,0.0051,0.9921976328,419164297200,419167833120,-0.0331,14.49,14.49,1.1511,1,22.029
